Date,Open,High,Low,Close,Adj Close,Volume,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,decision,decision1,decision2,decision3,decision4,decision5,Bullish,Neutral,Bearish,Total,Mov Avg,Spread,Average,#NAME?,#NAME?,High.1,Low.1,Daily_Return,Cumulative_Return,Sentiment_Diff,Price_Sentiment_Interaction,Month,Decision6
2018-10-17,2811.67,2816.94,2781.81,2809.21,2809.21,3347090000,-0.71,0,0.71,30.34785714,23.38571429,1,1,0,0,0,0,0.306061,0.339394,0.354545,1,0.37600025,-0.048484,0.375266258,0.476666611,0.273865906,2939.86,2784.86,-0.000252676,0.985549397,-0.048484,-0.21730331,10,2
2018-10-18,2802,2806.04,2755.18,2768.78,2768.78,3639300000,-40.43,0,40.43,15.22714286,26.27357143,0,1,1,0,0,0,0.33935,0.310469,0.350181,1,0.370342125,-0.010831,0.375266258,0.476666611,0.273865906,2874.02,2710.51,-0.014391946,0.971365422,-0.010831,-13.7199205,10,2
2018-10-19,2775.66,2797.77,2760.27,2767.78,2767.78,3593940000,-1,0,1,15.07857143,26.345,0,1,1,0,0,0,0.33935,0.310469,0.350181,1,0.370342125,-0.010831,0.375266258,0.476666611,0.273865906,2874.02,2710.51,-0.00036117,0.971014594,-0.010831,-0.33935,10,2
2018-10-22,2773.94,2778.94,2749.22,2755.88,2755.88,3331270000,-11.9,0,11.9,15.07857143,25.48785714,0,1,1,0,0,0,0.33935,0.310469,0.350181,1,0.370342125,-0.010831,0.375266258,0.476666611,0.273865906,2874.02,2710.51,-0.004299475,0.966839742,-0.010831,-4.038265,10,2
2018-10-23,2721.03,2753.59,2691.43,2740.69,2740.69,4373710000,82,82,0,20.93571429,31.20285714,1,1,1,0,0,0,0.33935,0.310469,0.350181,1,0.370342125,-0.010831,0.375266258,0.476666611,0.273865906,2874.02,2710.51,-0.005511851,0.961510665,-0.010831,27.8267,10,1
2018-10-24,2737.87,2742.59,2651.89,2656.1,2656.1,4738670000,-84.59,0,84.59,20.93571429,28.86642857,0,1,1,0,0,0,0.33935,0.310469,0.350181,1,0.370342125,-0.010831,0.375266258,0.476666611,0.273865906,2874.02,2710.51,-0.03086449,0.931834129,-0.010831,-28.7056165,10,2
2018-10-25,2674.88,2722.7,2667.84,2705.57,2705.57,4663930000,49.47,49.47,0,16.38285714,28.86642857,1,1,1,0,0,0,0.279693,0.310345,0.409962,1,0.350933875,-0.130269,0.375266258,0.476666611,0.273865906,2816.94,2651.89,0.018625052,0.949189587,-0.130269,13.83641271,10,1
2018-10-26,2667.86,2692.38,2628.16,2658.69,2658.69,4804330000,-46.88,0,46.88,16.38285714,25.45357143,0,1,1,0,0,0,0.279693,0.310345,0.409962,1,0.350933875,-0.130269,0.375266258,0.476666611,0.273865906,2816.94,2651.89,-0.017327218,0.932742773,-0.130269,-13.11200784,10,2
2018-10-29,2682.65,2706.85,2603.54,2641.25,2641.25,4701260000,-17.44,0,17.44,16.38285714,22.60571429,0,1,1,0,0,0,0.279693,0.310345,0.409962,1,0.350933875,-0.130269,0.375266258,0.476666611,0.273865906,2816.94,2651.89,-0.006559621,0.926624333,-0.130269,-4.87784592,10,2
2018-10-30,2640.68,2685.43,2635.34,2682.63,2682.63,5125600000,-40.43,0,40.43,19.45785714,24.32642857,1,1,1,0,0,0,0.279693,0.310345,0.409962,1,0.350933875,-0.130269,0.375266258,0.476666611,0.273865906,2816.94,2651.89,0.015666824,0.941141594,-0.130269,-11.30798799,10,2
2018-10-31,2705.6,2736.69,2705.6,2711.74,2711.74,5133380000,29.11,29.11,0,20.32357143,24.32642857,0,1,1,0,1,0,0.279693,0.310345,0.409962,1,0.350933875,-0.130269,0.375266258,0.476666611,0.273865906,2816.94,2651.89,0.010851291,0.951354196,-0.130269,8.14186323,10,1
2018-11-01,2717.58,2741.67,2708.85,2740.37,2740.37,4730250000,28.63,28.63,0,19.35857143,24.32642857,1,1,1,0,1,0,0.37931,0.275862,0.344828,1,0.345569875,0.034482,0.375266258,0.476666611,0.273865906,2742.59,2603.54,0.010557797,0.9613984,0.034482,10.8596453,11,0
2018-11-02,2745.45,2756.55,2700.44,2723.06,2723.06,4261230000,-37.11,0,37.11,20.77285714,24.03857143,0,1,0,0,1,0,0.37931,0.275862,0.344828,1,0.345569875,0.034482,0.375266258,0.476666611,0.273865906,2742.59,2603.54,-0.006316665,0.955325568,0.034482,-14.0761941,11,1
2018-11-05,2726.37,2744.27,2717.94,2738.31,2738.31,3650910000,15.25,15.25,0,21.86214286,23.96714286,1,1,0,0,1,0,0.37931,0.275862,0.344828,1,0.345569875,0.034482,0.375266258,0.476666611,0.273865906,2742.59,2603.54,0.005600317,0.960675695,0.034482,5.7844775,11,0
2018-11-06,2738.4,2756.82,2737.08,2755.45,2755.45,3543800000,-25.56,0,25.56,24.91214286,18.00071429,1,1,0,0,1,0,0.37931,0.275862,0.344828,1,0.345569875,0.034482,0.375266258,0.476666611,0.273865906,2742.59,2603.54,0.006259335,0.966688886,0.034482,-9.6951636,11,1
2018-11-07,2774.13,2815.15,2774.13,2813.89,2813.89,3929080000,58.44,58.44,0,23.22928571,18.00071429,1,1,0,0,1,0,0.37931,0.275862,0.344828,1,0.345569875,0.034482,0.375266258,0.476666611,0.273865906,2742.59,2603.54,0.021208877,0.987191271,0.034482,22.1668764,11,0
2018-11-08,2806.38,2814.75,2794.99,2806.83,2806.83,3673550000,-7.06,0,7.06,23.22928571,12.46285714,1,1,0,0,1,0,0.412844,0.275229,0.311927,1,0.357063375,0.100917,0.375266258,0.476666611,0.273865906,2815.15,2700.44,-0.002508982,0.984714426,0.100917,-2.91467864,11,1
2018-11-09,2794.1,2794.1,2764.24,2781.01,2781.01,4029030000,-25.82,0,25.82,19.69571429,14.30714286,1,1,0,0,1,0,0.412844,0.275229,0.311927,1,0.357063375,0.100917,0.375266258,0.476666611,0.273865906,2815.15,2700.44,-0.00919899,0.975656048,0.100917,-10.65963208,11,1
2018-11-12,2773.93,2775.99,2722,2726.22,2726.22,3701570000,-54.79,0,54.79,19.69571429,14.87214286,0,1,0,0,1,0,0.412844,0.275229,0.311927,1,0.357063375,0.100917,0.375266258,0.476666611,0.273865906,2815.15,2700.44,-0.019701475,0.956434185,0.100917,-22.61972276,11,1
2018-11-13,2730.05,2754.6,2714.98,2722.18,2722.18,4112820000,-14.09,0,14.09,14.57,14.63285714,0,1,0,0,1,0,0.412844,0.275229,0.311927,1,0.357063375,0.100917,0.375266258,0.476666611,0.273865906,2815.15,2700.44,-0.001481905,0.95501684,0.100917,-5.81697196,11,1
2018-11-14,2737.9,2746.8,2685.75,2701.58,2701.58,4449060000,-20.6,0,20.6,14.57,13.21642857,0,1,0,0,1,0,0.412844,0.275229,0.311927,1,0.357063375,0.100917,0.375266258,0.476666611,0.273865906,2815.15,2700.44,-0.007567464,0.947789784,0.100917,-8.5045864,11,1
2018-11-15,2693.52,2735.38,2670.75,2730.2,2730.2,4204960000,28.62,28.62,0,14.535,13.21642857,1,1,0,0,1,0,0.350877,0.289474,0.359649,1,0.360870125,-0.008772,0.375266258,0.476666611,0.273865906,2815.15,2685.75,0.010593801,0.95783048,-0.008772,10.04209974,11,1
2018-11-16,2718.54,2746.75,2712.16,2736.27,2736.27,3996970000,6.07,6.07,0,12.92357143,13.21642857,1,1,0,0,1,0,0.350877,0.289474,0.359649,1,0.360870125,-0.008772,0.375266258,0.476666611,0.273865906,2815.15,2685.75,0.00222328,0.959960006,-0.008772,2.12982339,11,1
2018-11-19,2730.74,2733.16,2681.09,2690.73,2690.73,3806940000,-45.54,0,45.54,11.50928571,16.46928571,0,1,0,0,0,0,0.350877,0.289474,0.359649,1,0.360870125,-0.008772,0.375266258,0.476666611,0.273865906,2815.15,2685.75,-0.016643094,0.943983301,-0.008772,-15.97893858,11,2
2018-11-20,2654.6,2669.44,2631.52,2641.89,2641.89,4370820000,9.33,9.33,0,11.08642857,17.97357143,0,1,1,0,0,0,0.350877,0.289474,0.359649,1,0.360870125,-0.008772,0.375266258,0.476666611,0.273865906,2815.15,2685.75,-0.018151208,0.926848863,-0.008772,3.27368241,11,1
2018-11-21,2657.74,2670.73,2649.82,2649.93,2649.93,3237400000,8.04,8.04,0,8.610714286,17.97357143,0,1,1,0,0,0,0.350877,0.289474,0.359649,1,0.360870125,-0.008772,0.375266258,0.476666611,0.273865906,2815.15,2685.75,0.003043276,0.92966952,-0.008772,2.82105108,11,1
2018-11-23,2633.36,2647.55,2631.09,2632.56,2632.56,1651680000,-17.37,0,17.37,8.610714286,17.38857143,0,1,1,0,0,0,0.252525,0.276094,0.47138,0.999999,0.347160125,-0.218855,0.375266258,0.476666611,0.273865906,2746.8,2631.52,-0.00655489,0.923575639,-0.218855,-4.38635925,11,2
2018-11-26,2649.97,2674.35,2649.97,2673.45,2673.45,3523520000,40.89,40.89,0,7.357142857,17.38857143,1,1,1,1,0,1,0.252525,0.276094,0.47138,0.999999,0.347160125,-0.218855,0.375266258,0.476666611,0.273865906,2746.8,2631.52,0.01553241,0.937920994,-0.218855,10.32574725,11,1
2018-11-27,2663.75,2682.53,2655.89,2682.17,2682.17,3494380000,-78,0,78,13.55142857,20.61142857,1,1,1,0,1,0,0.252525,0.276094,0.47138,0.999999,0.347160125,-0.218855,0.375266258,0.476666611,0.273865906,2746.8,2631.52,0.003261703,0.940980213,-0.218855,-19.69695,11,2
2018-11-28,2691.45,2744,2684.38,2743.79,2743.79,3984540000,61.62,61.62,0,17.95285714,16.69785714,1,1,1,0,1,0,0.252525,0.276094,0.47138,0.999999,0.347160125,-0.218855,0.375266258,0.476666611,0.273865906,2746.8,2631.52,0.022973935,0.962598232,-0.218855,15.5605905,11,1
2018-11-29,2736.97,2753.75,2722.94,2737.8,2737.8,3599200000,-5.99,0,5.99,17.235,17.12571429,0,1,1,0,1,0,0.338816,0.266447,0.394737,1,0.3324345,-0.055921,0.375266258,0.476666611,0.273865906,2744,2631.09,-0.002183112,0.960496772,-0.055921,-2.02950784,11,2
2018-11-30,2737.76,2760.88,2732.76,2760.17,2760.17,4668310000,22.37,22.37,0,18.83285714,16.11928571,1,1,0,0,1,0,0.338816,0.266447,0.394737,1,0.3324345,-0.055921,0.375266258,0.476666611,0.273865906,2744,2631.09,0.008170794,0.968344794,-0.055921,7.57931392,11,1
